nu_cm^-1,lambda_nm,k_cm^-1,sigma_cm2_per_molecule
10752.959545,929.97652954529,2.776041794201066e-23,1.089394292349898e-42
10752.949545,929.9773944024398,2.7763243828830757e-23,1.089505187833499e-42
10752.939545,929.9782592611982,2.776606987828953e-23,1.0896160896994838e-42
10752.929544999999,929.9791241215652,2.7768896090299823e-23,1.0897269979444322e-42
10752.919544999999,929.9799889835408,2.777172246477408e-23,1.0898379125649085e-42
10752.909545,929.9808538471249,2.7774549001624696e-23,1.0899488335574746e-42
10752.899545,929.9817187123177,2.777737570076511e-23,1.0900597609187336e-42
10752.889545,929.9825835791193,2.778020256210743e-23,1.0901706946452366e-42
10752.879545,929.9834484475293,2.778302958556393e-23,1.0902816347335408e-42
10752.869545,929.9843133175481,2.7785856771047365e-23,1.0903925811802227e-42
10752.859545,929.9851781891754,2.7788684118469865e-23,1.0905035339818338e-42
10752.849545,929.9860430624115,2.779151162774378e-23,1.0906144931349346e-42
10752.839544999999,929.986907937256,2.7794339298781395e-23,1.0907254586360829e-42
10752.829545,929.9877728137092,2.7797167131494353e-23,1.0908364304818113e-42
10752.819545,929.988637691771,2.779999512579587e-23,1.0909474086687143e-42
10752.809545,929.9895025714417,2.7802823281597486e-23,1.0910583931933201e-42
10752.799545,929.9903674527209,2.7805651598811323e-23,1.0911693840521805e-42
10752.789545,929.9912323356089,2.780848007734917e-23,1.0912803812418339e-42
10752.779545,929.9920972201054,2.781130871712318e-23,1.0913913847588326e-42
10752.769545,929.9929621062106,2.7814137518045196e-23,1.0915023945997174e-42
10752.759544999999,929.9938269939246,2.781696648002688e-23,1.0916134107610216e-42
10752.749545,929.994691883247,2.781979560297966e-23,1.0917244332392695e-42
10752.739545,929.9955567741783,2.7822624886816247e-23,1.0918354620310353e-42
10752.729545,929.9964216667183,2.7825454331447674e-23,1.0919464971328279e-42
10752.719545,929.997286560867,2.7828283936785666e-23,1.0920575385411832e-42
10752.709545,929.9981514566243,2.783111370274162e-23,1.092168586252624e-42
10752.699545,929.9990163539904,2.7833943629227183e-23,1.0922796402636833e-42
10752.689545,929.9998812529652,2.783677371615373e-23,1.092390700570883e-42
10752.679544999999,930.0007461535487,2.783960396343272e-23,1.0925017671707488e-42
10752.669544999999,930.0016110557409,2.784243437097529e-23,1.0926128400597932e-42
10752.659545,930.0024759595417,2.7845264938692534e-23,1.0927239192345274e-42
10752.649545,930.0033408649514,2.7848095666496375e-23,1.092835004691495e-42
10752.639545,930.0042057719699,2.785092655429764e-23,1.0929460964271967e-42
10752.629545,930.005070680597,2.785375760200732e-23,1.0930571944381393e-42
10752.619545,930.0059355908328,2.785658880953655e-23,1.0931682987208358e-42
10752.609545,930.0068005026775,2.785942017679635e-23,1.0932794092717943e-42
10752.599545,930.0076654161309,2.7862251703697684e-23,1.0933905260875205e-42
10752.589544999999,930.008530331193,2.7865083390151375e-23,1.0935016491645152e-42
10752.579545,930.0093952478637,2.7867915236067763e-23,1.0936127784992599e-42
10752.569545,930.0102601661433,2.787074724135867e-23,1.093723914088294e-42
